iteration = 1:00000000000000000000000000000000000000000010000000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.485913, P = 1
iteration = 2:00001000000000000000000000000000000000000010000000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.479457, P = 1
iteration = 3:00001000000000000000000000000000000100000010000000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.434272, P = 1
iteration = 4:00001000000000000000000000000001000100000010000000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.718856, P = 1
iteration = 5:00001000000000000000000000100001000100000010000000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.446203, P = 1
iteration = 6:00011000000000000000000000100001000100000010000000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0191148, P = 1
iteration = 7:00011000000000000000100000100001000100000010000000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.579773, P = 1
iteration = 8:00011001000000000000100000100001000100000010000000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.803933, P = 1
iteration = 9:00011001000000000000100000100001000100000000000000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.62721, P = 1
iteration = 10:00011001000000100000100000100001000100000000000000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.623617, P = 1
iteration = 11:00011001000000100000100000100001000100000000001000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.334465, P = 1
iteration = 12:10011001000000100000100000100001000100000000001000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.60069, P = 1
iteration = 13:10011001000000100000100000100011000100000000001000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.150216, P = 1
iteration = 14:10011001000000100000000000100011000100000000001000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.582865, P = 1
iteration = 15:10011001000000100000000000100011000100000000101000, f(current_state) = -2147483648, rand()/RAND_MAX = 0.580189, P = 1
iteration = 16:10011001000000100000000000100011000100000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.966817, P = 1
iteration = 17:10011001000000100000000000100011000101000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.784518, P = 1
iteration = 18:10011001000000100000000000000011000101000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.174064, P = 1
iteration = 19:10011001000000100000000100000011000101000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.623132, P = 1
iteration = 20:10011001000000100001000100000011000101000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.494716, P = 1
iteration = 21:10011001000000100011000100000011000101000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0700441, P = 1
iteration = 22:10011001000000100111000100000011000101000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.498161, P = 1
iteration = 23:10011001000000100111000110000011000101000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.974342, P = 1
iteration = 24:10011011000000100111000110000011000101000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.909309, P = 1
iteration = 25:10011011000000100111000110000010000101000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.389503, P = 1
iteration = 26:10011011000000100111000110000010000111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.532038, P = 1
iteration = 27:10011011100000100111000110000010000111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.993483, P = 1
iteration = 28:10011011100000101111000110000010000111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.636499, P = 1
iteration = 29:10001011100000101111000110000010000111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.144915, P = 1
iteration = 30:10001011100000101111000110000010001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.437055, P = 1
iteration = 31:10001011100000100111000110000010001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.339526, P = 1
iteration = 32:10001011100000100111000110000010001101000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.791207, P = 1
iteration = 33:10001011100000100111000110000010001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.850146, P = 1
iteration = 34:10001011100000100111000110100010001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.342834, P = 1
iteration = 35:10001011100000100111001110100010001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.858192, P = 1
iteration = 36:10001011000000100111001110100010001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.542614, P = 1
iteration = 37:10001011000000100111011110100010001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.351381, P = 1
iteration = 38:10001011000000100111011110100011001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.578053, P = 1
iteration = 39:10000011000000100111011110100011001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.342868, P = 1
iteration = 40:10000011000000110111011110100011001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.927275, P = 1
iteration = 41:10000010000000110111011110100011001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0202879, P = 1
iteration = 42:10000010000000111111011110100011001111000000101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.456339, P = 1
iteration = 43:10000010000000111111011110100011001111000100101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.592042, P = 1
iteration = 44:10000010001000111111011110100011001111000100101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.157471, P = 1
iteration = 45:10000010001000111101011110100011001111000100101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.312203, P = 1
iteration = 46:10000010001000111101011110100011001111000101101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.462062, P = 1
iteration = 47:10000010001000111101011110000011001111000101101010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.998398, P = 1
