iteration = 1:1000000000, f(current_state) = 256, rand()/RAND_MAX = 0.381889, P = 1
iteration = 2:1010000000, f(current_state) = 384, rand()/RAND_MAX = 0.0731254, P = 3.79156
iteration = 3:1010100000, f(current_state) = 416, rand()/RAND_MAX = 0.476187, P = 1.40494
iteration = 4:1010101000, f(current_state) = 424, rand()/RAND_MAX = 0.481367, P = 1.09061
iteration = 5:1011101000, f(current_state) = 488, rand()/RAND_MAX = 0.672666, P = 2.02998
iteration = 6:1111101000, f(current_state) = 744, rand()/RAND_MAX = 0.599979, P = 17.9916
iteration = 7:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.776074, P = 1.20238
iteration = 8:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.783387, P = 0.686511
iteration = 9:1111111010, f(current_state) = 762, rand()/RAND_MAX = 0.667384, P = 1.02428
iteration = 10:1111110010, f(current_state) = 754, rand()/RAND_MAX = 0.0539652, P = 0.90673
iteration = 11:1111100010, f(current_state) = 738, rand()/RAND_MAX = 0.0124648, P = 0.81888
iteration = 12:1111110010, f(current_state) = 754, rand()/RAND_MAX = 0.0634561, P = 1.22617
iteration = 13:1111110010, f(current_state) = 754, rand()/RAND_MAX = 0.961236, P = 0.659606
iteration = 14:1111110010, f(current_state) = 754, rand()/RAND_MAX = 0.887878, P = 0.427753
iteration = 15:1111111010, f(current_state) = 762, rand()/RAND_MAX = 0.347505, P = 1.1144
iteration = 16:1111111010, f(current_state) = 762, rand()/RAND_MAX = 0.937503, P = 0.170597
iteration = 17:1111111011, f(current_state) = 763, rand()/RAND_MAX = 0.957157, P = 1.0142
iteration = 18:1111111010, f(current_state) = 762, rand()/RAND_MAX = 0.314962, P = 0.985717
iteration = 19:1111111011, f(current_state) = 763, rand()/RAND_MAX = 0.159209, P = 1.01479
iteration = 20:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.333551, P = 1.06175
iteration = 21:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.411261, P = 0.0199836
iteration = 22:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.223485, P = 0.0184499
iteration = 23:1111110111, f(current_state) = 759, rand()/RAND_MAX = 0.00634371, P = 0.880454
iteration = 24:1111010111, f(current_state) = 727, rand()/RAND_MAX = 0.391877, P = 0.594719
iteration = 25:1111010111, f(current_state) = 727, rand()/RAND_MAX = 0.920983, P = 0.346268
iteration = 26:1111010111, f(current_state) = 727, rand()/RAND_MAX = 0.940605, P = 0.9346
iteration = 27:1111010101, f(current_state) = 725, rand()/RAND_MAX = 0.0274872, P = 0.96608
iteration = 28:1111000101, f(current_state) = 709, rand()/RAND_MAX = 0.708168, P = 0.754499
iteration = 29:1111010101, f(current_state) = 725, rand()/RAND_MAX = 0.47203, P = 1.33303
iteration = 30:1111010101, f(current_state) = 725, rand()/RAND_MAX = 0.77739, P = 0.0956999
iteration = 31:1111010001, f(current_state) = 721, rand()/RAND_MAX = 0.182746, P = 0.927905
iteration = 32:1111010001, f(current_state) = 721, rand()/RAND_MAX = 0.548929, P = 0.00754715
iteration = 33:1111010001, f(current_state) = 721, rand()/RAND_MAX = 0.725522, P = 0.287487
iteration = 34:1111000001, f(current_state) = 705, rand()/RAND_MAX = 0.573247, P = 0.7276
iteration = 35:1111001001, f(current_state) = 713, rand()/RAND_MAX = 0.660221, P = 1.17615
iteration = 36:1111001101, f(current_state) = 717, rand()/RAND_MAX = 0.716607, P = 1.0863
iteration = 37:1111001001, f(current_state) = 713, rand()/RAND_MAX = 0.840328, P = 0.919001
iteration = 38:1111001101, f(current_state) = 717, rand()/RAND_MAX = 0.258816, P = 1.09002
iteration = 39:1111001111, f(current_state) = 719, rand()/RAND_MAX = 0.946964, P = 1.04496
iteration = 40:1111001011, f(current_state) = 715, rand()/RAND_MAX = 0.520399, P = 0.914163
iteration = 41:1111011011, f(current_state) = 731, rand()/RAND_MAX = 0.096535, P = 1.4424
iteration = 42:1111011011, f(current_state) = 731, rand()/RAND_MAX = 0.801394, P = 0.224215
iteration = 43:1111011011, f(current_state) = 731, rand()/RAND_MAX = 0.465066, P = 0.00223693
iteration = 44:1111011011, f(current_state) = 731, rand()/RAND_MAX = 0.112745, P = 0.00197498
iteration = 45:1111011111, f(current_state) = 735, rand()/RAND_MAX = 0.105608, P = 1.10438
iteration = 46:1111011111, f(current_state) = 735, rand()/RAND_MAX = 0.756631, P = 0.0390864
iteration = 47:1111011111, f(current_state) = 735, rand()/RAND_MAX = 0.605028, P = 0.00133839
iteration = 48:1111011011, f(current_state) = 731, rand()/RAND_MAX = 0.428257, P = 0.899884
iteration = 49:1111011010, f(current_state) = 730, rand()/RAND_MAX = 0.169451, P = 0.973448
iteration = 50:1111011011, f(current_state) = 731, rand()/RAND_MAX = 0.215282, P = 1.02784
iteration = 51:1111011010, f(current_state) = 730, rand()/RAND_MAX = 0.908302, P = 0.972369
iteration = 52:1111011110, f(current_state) = 734, rand()/RAND_MAX = 0.901153, P = 1.12116
iteration = 53:1111011111, f(current_state) = 735, rand()/RAND_MAX = 0.871981, P = 1.02961
iteration = 54:1111011111, f(current_state) = 735, rand()/RAND_MAX = 0.595301, P = 0.0221333
iteration = 55:1111011111, f(current_state) = 735, rand()/RAND_MAX = 0.810662, P = 1.75826e-07
iteration = 56:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.686891, P = 2.69649
iteration = 57:1111110111, f(current_state) = 759, rand()/RAND_MAX = 0.576705, P = 0.77643
iteration = 58:1111010111, f(current_state) = 727, rand()/RAND_MAX = 0.0312192, P = 0.355991
iteration = 59:1111010111, f(current_state) = 727, rand()/RAND_MAX = 0.997846, P = 0.876568
iteration = 60:1111010111, f(current_state) = 727, rand()/RAND_MAX = 0.978867, P = 0.966951
iteration = 61:1111010111, f(current_state) = 727, rand()/RAND_MAX = 0.0340991, P = 0.0124064
iteration = 62:1111010111, f(current_state) = 727, rand()/RAND_MAX = 0.391808, P = 0.106505
iteration = 63:1111010110, f(current_state) = 726, rand()/RAND_MAX = 0.0410581, P = 0.964923
iteration = 64:1111010110, f(current_state) = 726, rand()/RAND_MAX = 0.969678, P = 0.92972
iteration = 65:1111010010, f(current_state) = 722, rand()/RAND_MAX = 0.821569, P = 0.861812
iteration = 66:1111010000, f(current_state) = 720, rand()/RAND_MAX = 0.0401814, P = 0.92693
iteration = 67:1111011000, f(current_state) = 728, rand()/RAND_MAX = 0.116848, P = 1.36302
iteration = 68:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.4785, P = 3.53986
iteration = 69:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.101304, P = 0.0757916
iteration = 70:1111111010, f(current_state) = 762, rand()/RAND_MAX = 0.807773, P = 1.08574
iteration = 71:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.189501, P = 0.919485
iteration = 72:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.819163, P = 0.503969
iteration = 73:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.982948, P = 1.04467
iteration = 74:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.807977, P = 0.69995
iteration = 75:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.994346, P = 1.19963
iteration = 76:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.0842487, P = 0.0512186
iteration = 77:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.522341, P = 5.39954e-06
iteration = 78:1111110101, f(current_state) = 757, rand()/RAND_MAX = 0.667573, P = 0.679245
iteration = 79:1111110101, f(current_state) = 757, rand()/RAND_MAX = 0.296121, P = 1.0723e-11
iteration = 80:1111110101, f(current_state) = 757, rand()/RAND_MAX = 0.773909, P = 2.53059e-06
iteration = 81:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.82221, P = 1.50823
iteration = 82:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.84756, P = 0.432293
iteration = 83:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.755425, P = 0.651887
iteration = 84:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.927887, P = 8.55391e-07
iteration = 85:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.399862, P = 4.13678e-13
iteration = 86:1111111100, f(current_state) = 764, rand()/RAND_MAX = 0.768695, P = 0.944757
iteration = 87:1111111100, f(current_state) = 764, rand()/RAND_MAX = 0.230324, P = 3.57298e-07
iteration = 88:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.355569, P = 1.06096
iteration = 89:1111111100, f(current_state) = 764, rand()/RAND_MAX = 0.438239, P = 0.941409
iteration = 90:1111111100, f(current_state) = 764, rand()/RAND_MAX = 0.194067, P = 1.99718e-14
iteration = 91:1111111100, f(current_state) = 764, rand()/RAND_MAX = 0.950389, P = 0.365722
iteration = 92:1111111100, f(current_state) = 764, rand()/RAND_MAX = 0.46103, P = 5.43934e-15
iteration = 93:1111111100, f(current_state) = 764, rand()/RAND_MAX = 0.754372, P = 0.0151549
iteration = 94:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.0361301, P = 1.14293
iteration = 95:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.765853, P = 0.336034
iteration = 96:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.168183, P = 0.0116646
iteration = 97:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.62413, P = 1.65711e-16
iteration = 98:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.527121, P = 0.313899
iteration = 99:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.341805, P = 0.306564
iteration = 100:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.236284, P = 6.43183e-05
iteration = 101:1111101110, f(current_state) = 750, rand()/RAND_MAX = 0.190668, P = 0.291977
iteration = 102:1111101110, f(current_state) = 750, rand()/RAND_MAX = 0.331029, P = 3.48341e-18
iteration = 103:1111101110, f(current_state) = 750, rand()/RAND_MAX = 0.592836, P = 1.53362e-18
iteration = 104:1111101110, f(current_state) = 750, rand()/RAND_MAX = 0.634265, P = 6.63989e-19
iteration = 105:1111101110, f(current_state) = 750, rand()/RAND_MAX = 0.850144, P = 0.846338
iteration = 106:1111101100, f(current_state) = 748, rand()/RAND_MAX = 0.46366, P = 0.843461
iteration = 107:1111100100, f(current_state) = 740, rand()/RAND_MAX = 0.106647, P = 0.499142
iteration = 108:1111100101, f(current_state) = 741, rand()/RAND_MAX = 0.273263, P = 1.09268
iteration = 109:1111100001, f(current_state) = 737, rand()/RAND_MAX = 0.0532926, P = 0.696451
iteration = 110:1111100101, f(current_state) = 741, rand()/RAND_MAX = 0.911513, P = 1.44649
iteration = 111:1111100100, f(current_state) = 740, rand()/RAND_MAX = 0.119433, P = 0.910129
iteration = 112:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.407208, P = 4.65268
iteration = 113:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.0954399, P = 0.043385
iteration = 114:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.123117, P = 5.65569e-23
iteration = 115:1111111100, f(current_state) = 764, rand()/RAND_MAX = 0.389336, P = 2.26314
iteration = 116:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.178911, P = 1.23165
iteration = 117:1111111100, f(current_state) = 764, rand()/RAND_MAX = 0.36438, P = 0.808473
iteration = 118:1111111100, f(current_state) = 764, rand()/RAND_MAX = 0.000996175, P = 8.70972e-13
iteration = 119:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.196539, P = 0.642269
iteration = 120:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.98829, P = 7.68198e-26
iteration = 121:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.463592, P = 0.158181
iteration = 122:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.847215, P = 8.41329e-14
iteration = 123:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.37664, P = 2.07136e-27
iteration = 124:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.431259, P = 0.140966
iteration = 125:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.429872, P = 0.000336512
iteration = 126:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.249078, P = 0.000285841
iteration = 127:1111111000, f(current_state) = 760, rand()/RAND_MAX = 0.422467, P = 0.124724
iteration = 128:1111110000, f(current_state) = 752, rand()/RAND_MAX = 0.292867, P = 0.34574
iteration = 129:1111110010, f(current_state) = 754, rand()/RAND_MAX = 0.590614, P = 1.31119
iteration = 130:1111110010, f(current_state) = 754, rand()/RAND_MAX = 0.955152, P = 2.06872e-08
iteration = 131:1111110010, f(current_state) = 754, rand()/RAND_MAX = 0.775386, P = 0.000120071
iteration = 132:1111110011, f(current_state) = 755, rand()/RAND_MAX = 0.559955, P = 1.15481
iteration = 133:1111110011, f(current_state) = 755, rand()/RAND_MAX = 0.644003, P = 4.68959e-17
iteration = 134:1111110011, f(current_state) = 755, rand()/RAND_MAX = 0.0969809, P = 0.00826488
iteration = 135:1111110011, f(current_state) = 755, rand()/RAND_MAX = 0.196212, P = 5.61646e-05
iteration = 136:1111110011, f(current_state) = 755, rand()/RAND_MAX = 0.887224, P = 0.85552
iteration = 137:1111111011, f(current_state) = 763, rand()/RAND_MAX = 0.537221, P = 3.57458
iteration = 138:1111111011, f(current_state) = 763, rand()/RAND_MAX = 0.230043, P = 9.28447e-10
iteration = 139:1111111011, f(current_state) = 763, rand()/RAND_MAX = 0.854917, P = 2.46441e-05
iteration = 140:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.343793, P = 0.712938
iteration = 141:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.00407315, P = 2.53163e-10
iteration = 142:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.834093, P = 1.26992e-05
iteration = 143:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.249156, P = 1.0179e-10
iteration = 144:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.944448, P = 4.05099e-21
iteration = 145:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.542944, P = 2.41444e-42
iteration = 146:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.819721, P = 2.14669
iteration = 147:1111110101, f(current_state) = 757, rand()/RAND_MAX = 0.0336623, P = 0.210338
iteration = 148:1111110101, f(current_state) = 757, rand()/RAND_MAX = 0.458095, P = 7.78421e-23
iteration = 149:1111110101, f(current_state) = 757, rand()/RAND_MAX = 0.940627, P = 0.816347
iteration = 150:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.518206, P = 0.812974
iteration = 151:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.640347, P = 1.34107e-06
iteration = 152:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.796643, P = 0.0317615
iteration = 153:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.139869, P = 0
iteration = 154:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.0914285, P = 0
iteration = 155:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.687988, P = 0.400013
iteration = 156:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.279575, P = 0.000564447
iteration = 157:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.0280913, P = 3.03836e-27
iteration = 158:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.118602, P = 8.73912e-28
